name,code,year,month,cat1_in_progress,cat1_invoice_prep,cat1_at_hq,cat1_at_finance,cat1_total,cat2_in_progress,cat2_invoice_prep,cat2_at_hq,cat2_at_finance,cat2_total,cat3_in_progress,cat3_invoice_prep,cat3_at_hq,cat3_at_finance,cat3_total,cat4_in_progress,cat4_invoice_prep,cat4_at_consultant,cat4_at_hq,cat4_at_finance,cat4_total,cat5_in_progress,cat5_invoice_prep,cat5_at_consultant,cat5_at_hq,cat5_at_finance,cat5_total,cat6_in_progress,cat6_invoice_prep,cat6_at_consultant,cat6_at_hq,cat6_at_finance,cat6_total,cat7_in_progress,cat7_invoice_prep,cat7_at_consultant,cat7_at_hq,cat7_at_finance,cat7_total,cat_in_progress,cat_invoice_prep,cat_at_consultant,cat_at_hq,cat_at_finance,cat_total
شهر 11,8015,1401,7,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,18,0,0,0,0,18,0,0,0,0,0,0,8,0,0,0,0,8,37,0,0,0,0,37
شهر 12,9601,1401,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,19,0,0,0,0,19
شهر 13,8101,1401,7,17,0,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1,0,0,0,41,0,0,0,0,0,0,7,0,2,0,0,9,64,1,2,1,0,68
شهر 14,8001,1401,7,46,0,0,0,46,0,0,0,0,0,1,0,0,0,1,9,0,0,0,0,9,64,0,2,0,0,66,0,0,0,0,0,0,18,0,0,0,0,18,138,0,2,0,0,140
شهر 15,8501,1401,7,7,0,2,0,9,0,0,1,0,1,1,0,0,0,1,20,0,0,0,0,20,35,0,0,0,1,36,0,0,0,0,0,0,17,0,0,0,0,17,80,0,0,3,1,84
شهر 16,9010,1401,7,6,0,3,0,9,1,0,0,0,1,0,0,0,0,0,16,0,0,0,0,16,32,0,0,0,0,32,0,0,0,0,0,0,18,0,0,0,1,19,73,0,0,3,1,77
شهر 1,6010,1401,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,0,0,0,0,5
شهر 2,6001,1401,8,11,0,0,0,11,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,13,0,0,0,0,13,0,0,0,0,0,0,3,0,0,0,0,3,31,0,0,0,0,31
شهر 3,5001,1401,8,5,0,1,0,6,0,0,0,0,0,1,0,0,0,1,10,0,0,0,0,10,45,0,0,0,0,45,0,0,0,0,0,0,10,0,0,0,0,10,71,0,0,1,0,72
شهر 4,9001,1401,8,15,0,1,0,16,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,37,5,0,7,1,0,13,0,0,0,0,0,0,17,0,1,0,0,18,74,0,8,2,0,84
شهر 5,7001,1401,8,20,0,0,1,21,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,27,82,0,0,1,1,84,0,0,0,0,0,0,43,0,0,0,0,43,172,0,0,1,2,175
شهر 6,6005,1401,8,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,11,5,2,0,0,18,0,0,0,0,0,0,15,0,0,1,0,16,30,5,2,2,0,39
شهر 7,8401,1401,8,7,0,0,0,7,0,1,0,0,1,0,0,0,0,0,24,0,0,0,0,24,59,0,0,0,0,59,0,0,0,0,0,0,28,0,0,0,0,28,118,1,0,0,0,119
شهر 8,9501,1401,8,11,0,1,0,12,1,0,0,0,1,0,0,0,0,0,8,0,0,0,0,8,16,0,0,0,0,16,0,0,0,0,0,0,11,0,0,0,0,11,47,0,0,1,0,48
شهر 9,2001,1401,8,8,2,3,0,13,0,0,0,0,0,0,0,1,0,1,2,0,0,0,1,3,68,1,37,5,0,111,0,0,0,0,0,0,28,0,6,0,0,34,106,3,43,9,1,162
شهر 10,7501,1401,8,31,0,0,0,31,2,0,0,0,2,0,0,0,0,0,8,0,0,0,0,8,56,0,0,0,0,56,4,0,0,0,0,4,34,0,0,0,0,34,135,0,0,0,0,135
شهر 11,8015,1401,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,8,0,0,0,0,8,0,0,0,0,0,0,8,0,0,0,0,8,22,0,0,0,0,22
شهر 12,9601,1401,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10
شهر 13,8101,1401,8,10,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1,1,0,0,42,0,0,0,0,0,0,7,0,2,0,0,9,57,1,3,1,0,62
شهر 14,8001,1401,8,12,0,0,0,12,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,66,0,0,0,0,66,0,0,0,0,0,0,16,0,0,0,0,16,102,0,0,0,0,102
شهر 15,8501,1401,8,7,0,2,0,9,0,0,1,0,1,1,0,0,0,1,20,0,0,0,0,20,35,0,2,0,1,38,0,0,0,0,0,0,17,0,0,0,0,17,80,0,2,3,1,86
شهر 16,9010,1401,8,5,0,0,0,5,1,0,0,0,1,0,0,0,0,0,12,0,0,0,0,12,25,0,0,0,0,25,0,0,0,0,0,0,14,0,0,0,1,15,57,0,0,0,1,58
شهر 1,6010,1401,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
شهر 2,6001,1401,9,11,0,0,0,11,0,0,0,0,0,1,0,0,0,1,4,0,0,0,0,4,13,0,0,0,0,13,0,0,0,0,0,0,3,0,0,0,0,3,32,0,0,0,0,32
شهر 3,5001,1401,9,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,45,0,0,0,0,45,0,0,0,0,0,0,10,0,0,0,0,10,67,0,0,1,0,68
شهر 4,9001,1401,9,9,0,1,0,10,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,31,5,0,4,1,0,10,0,0,0,0,0,0,17,0,1,0,0,18,62,0,5,2,0,69
شهر 5,7001,1401,9,19,0,0,1,20,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,27,78,0,0,1,1,80,0,0,0,0,0,0,37,0,0,0,0,37,161,0,0,1,2,164
شهر 6,6005,1401,9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,11,4,1,0,0,16,0,0,0,0,0,0,11,0,0,1,0,12,25,4,1,1,0,31
شهر 7,8401,1401,9,7,0,0,0,7,0,1,0,0,1,0,0,0,0,0,24,0,0,0,0,24,58,0,0,0,0,58,0,0,0,0,0,0,24,0,0,0,0,24,113,1,0,0,0,114
شهر 8,9501,1401,9,9,0,1,0,10,1,0,0,0,1,0,0,0,0,0,6,0,0,0,0,6,16,0,0,0,0,16,0,0,0,0,0,0,11,0,0,0,0,11,43,0,0,1,0,44
شهر 9,2001,1401,9,4,0,1,0,5,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,3,68,1,33,5,0,107,0,0,0,0,0,0,25,0,2,0,1,28,99,1,35,6,3,144
شهر 10,7501,1401,9,31,0,0,0,31,2,0,0,0,2,0,0,0,0,0,8,0,0,0,0,8,55,0,0,0,0,55,4,0,0,0,0,4,30,0,0,0,0,30,130,0,0,0,0,130
شهر 11,8015,1401,9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,8,0,0,0,0,8,0,0,0,0,0,0,8,0,0,0,0,8,22,0,0,0,0,22
شهر 12,9601,1401,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8
شهر 13,8101,1401,9,6,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,40,0,0,0,0,0,0,7,0,2,0,0,9,53,0,2,1,0,56
شهر 14,8001,1401,9,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,63,0,0,0,0,63,0,0,0,0,0,0,16,0,0,0,0,16,97,0,0,0,0,97
شهر 15,8501,1401,9,3,0,0,0,3,0,0,1,0,1,0,0,0,0,0,20,0,0,0,0,20,26,0,2,0,1,29,0,0,0,0,0,0,12,0,0,0,0,12,61,0,2,1,1,65
شهر 16,9010,1401,9,4,0,1,0,5,1,0,0,0,1,0,0,0,0,0,12,0,0,0,0,12,25,0,0,0,0,25,0,0,0,0,0,0,14,0,0,0,1,15,56,0,0,1,1,58
